REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,variable,nulos,nacimientos,pct_nulos
7,Del Maule,GRUPO_ETARIO_PADRE,0,44976,0.0
7,Del Maule,CURSO_PADRE,0,44976,0.0
7,Del Maule,NIVEL_PADRE,2757,44976,6.1299359658484525
7,Del Maule,ACTIV_PADRE,3442,44976,7.652970473141231
7,Del Maule,OCUPA_PADRE,0,44976,0.0
7,Del Maule,CATEG_PADRE,0,44976,0.0
7,Del Maule,GRUPO_ETARIO_MADRE,0,44976,0.0
7,Del Maule,EST_CIV_MADRE,0,44976,0.0
7,Del Maule,CURSO_MADRE,0,44976,0.0
7,Del Maule,NIVEL_MADRE,0,44976,0.0
7,Del Maule,ACTIV_MADRE,0,44976,0.0
7,Del Maule,OCUPA_MADRE,0,44976,0.0
7,Del Maule,CATEG_MADRE,0,44976,0.0
7,Del Maule,NACIONALIDAD_MADRE,0,44976,0.0
8,Del Bíobío,MES_NAC,0,61549,0.0
8,Del Bíobío,ANO_NAC,0,61549,0.0
8,Del Bíobío,SEXO,0,61549,0.0
8,Del Bíobío,TIPO_PARTO,0,61549,0.0
8,Del Bíobío,TIPO_ATEN,0,61549,0.0
8,Del Bíobío,PARTO_LOCAL,0,61549,0.0
8,Del Bíobío,SEMANAS,64,61549,0.10398219304944029
8,Del Bíobío,RANGO_PESO,0,61549,0.0
8,Del Bíobío,TALLA,64,61549,0.10398219304944029
8,Del Bíobío,GRUPO_ETARIO_PADRE,0,61549,0.0
8,Del Bíobío,CURSO_PADRE,0,61549,0.0
8,Del Bíobío,NIVEL_PADRE,3588,61549,5.829501697834246
8,Del Bíobío,ACTIV_PADRE,4471,61549,7.264131017563242
8,Del Bíobío,OCUPA_PADRE,0,61549,0.0
8,Del Bíobío,CATEG_PADRE,0,61549,0.0
8,Del Bíobío,GRUPO_ETARIO_MADRE,0,61549,0.0
8,Del Bíobío,EST_CIV_MADRE,0,61549,0.0
8,Del Bíobío,CURSO_MADRE,0,61549,0.0
8,Del Bíobío,NIVEL_MADRE,0,61549,0.0
8,Del Bíobío,ACTIV_MADRE,0,61549,0.0
8,Del Bíobío,OCUPA_MADRE,0,61549,0.0
8,Del Bíobío,CATEG_MADRE,0,61549,0.0
8,Del Bíobío,NACIONALIDAD_MADRE,0,61549,0.0
9,De La Araucanía,MES_NAC,0,40335,0.0
9,De La Araucanía,ANO_NAC,0,40335,0.0
9,De La Araucanía,SEXO,0,40335,0.0
9,De La Araucanía,TIPO_PARTO,0,40335,0.0
9,De La Araucanía,TIPO_ATEN,0,40335,0.0
9,De La Araucanía,PARTO_LOCAL,0,40335,0.0
9,De La Araucanía,SEMANAS,29,40335,0.07189785546051816
9,De La Araucanía,RANGO_PESO,0,40335,0.0
9,De La Araucanía,TALLA,29,40335,0.07189785546051816
9,De La Araucanía,GRUPO_ETARIO_PADRE,0,40335,0.0
9,De La Araucanía,CURSO_PADRE,0,40335,0.0
9,De La Araucanía,NIVEL_PADRE,2605,40335,6.458410809470683
9,De La Araucanía,ACTIV_PADRE,3381,40335,8.382298252138341
9,De La Araucanía,OCUPA_PADRE,0,40335,0.0
9,De La Araucanía,CATEG_PADRE,0,40335,0.0
9,De La Araucanía,GRUPO_ETARIO_MADRE,0,40335,0.0
9,De La Araucanía,EST_CIV_MADRE,0,40335,0.0
9,De La Araucanía,CURSO_MADRE,0,40335,0.0
9,De La Araucanía,NIVEL_MADRE,0,40335,0.0
9,De La Araucanía,ACTIV_MADRE,0,40335,0.0
9,De La Araucanía,OCUPA_MADRE,1,40335,0.0024792363951902812
9,De La Araucanía,CATEG_MADRE,0,40335,0.0
9,De La Araucanía,NACIONALIDAD_MADRE,0,40335,0.0
10,De Los Lagos,MES_NAC,0,34492,0.0
10,De Los Lagos,ANO_NAC,0,34492,0.0
10,De Los Lagos,SEXO,0,34492,0.0
10,De Los Lagos,TIPO_PARTO,0,34492,0.0
10,De Los Lagos,TIPO_ATEN,0,34492,0.0
10,De Los Lagos,PARTO_LOCAL,0,34492,0.0
10,De Los Lagos,SEMANAS,27,34492,0.07827902122231242
10,De Los Lagos,RANGO_PESO,0,34492,0.0
10,De Los Lagos,TALLA,27,34492,0.07827902122231242
10,De Los Lagos,GRUPO_ETARIO_PADRE,0,34492,0.0
10,De Los Lagos,CURSO_PADRE,0,34492,0.0
10,De Los Lagos,NIVEL_PADRE,2151,34492,6.23622869071089
10,De Los Lagos,ACTIV_PADRE,2396,34492,6.9465383277281685
10,De Los Lagos,OCUPA_PADRE,0,34492,0.0
10,De Los Lagos,CATEG_PADRE,0,34492,0.0
10,De Los Lagos,GRUPO_ETARIO_MADRE,0,34492,0.0
10,De Los Lagos,EST_CIV_MADRE,0,34492,0.0
10,De Los Lagos,CURSO_MADRE,0,34492,0.0
10,De Los Lagos,NIVEL_MADRE,0,34492,0.0
10,De Los Lagos,ACTIV_MADRE,0,34492,0.0
10,De Los Lagos,OCUPA_MADRE,0,34492,0.0
